file_a,file_b,score,text_a,text_b,start_a,end_a,start_b,end_b
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,"ar byang chub kyi phyogs dang mthun 
[\[45a.7\]]pa'i chos sum bcu rtsa bdun",2363,2426,168989,169064
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,160998,161061
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,154007,154070
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,432071,432111
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,26.599999999999998,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel bar 'byung ba la m,6434,6473,238989,239029
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,26.0,hams cad rten cing 'brel bar 'byung ba l,has pa dang /_rten cing 'brel bar 'byung ba l,1553,1593,238981,239026
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/001_'dul_ba_ka.txt,25.8,i rtags 'phags pa'i lam yan lag brgyad,i lta ste/_'phags pa'i lam yan lag brgyad,10172,10210,426592,426633
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,23374,23414
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,26.599999999999998,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel bar 'byung ba la m,6434,6473,571424,571464
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,26.19999999999999,s nas/ byang chub kyi phyogs dang mthun pa'i chos s,s pas byang chub kyi phyogs sum bcu rtsa bdun dang mthun pa'i chos bs,2360,2411,468749,468818
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,26.0,hams cad rten cing 'brel bar 'byung ba l,has pa dang /_rten cing 'brel bar 'byung ba l,1553,1593,571416,571461
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,25.8,i rtags 'phags pa'i lam yan lag brgyad,i lta ste/_'phags pa'i lam yan lag brgyad,10172,10210,207849,207890
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/002_'dul_ba_kha.txt,25.6,yi nang rten cing 'brel par 'byung ba,yin pa de rten cing 'brel par 'byung ba,6430,6467,184785,184824
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,27.4,ang rten cing 'brel par 'byung ba'i la,ang /_rten cing 'brel bar 'byung ba'i ya,6434,6472,890187,890227
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,27.399999999999995,i rtags 'phags pa'i lam yan lag brgyad ni/ rnam shes br,i rtogs pa'i 'phags pa'i lam yan lag brgyad pa yin no zhes br,10172,10227,891419,891480
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,27.0,i mtha' rten cing 'brel par 'byung ba/ g,"i mthun pa'i rten 
[\[227b.3\]]cing 'brel par 'byung ba 'g",1459,1499,893360,893418
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,26.0,i rtags 'phags pa'i lam yan lag brgyad,i rtogs pa'i 'phags pa'i lam yan lag brgyad,10172,10210,893465,893508
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,25.4,ags 'phags pa'i lam yan lag brgyad,"ang /_
[\[226b.6\]]'phags pa'i lam yan lag brgyad",10176,10210,890295,890344
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,25.0,rten cing 'brel par 'byung ba',"rten 
[\[227b.3\]]cing 'brel par 'byung ba '",6438,6468,893373,893417
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/003_'dul_ba_ga.txt,25.0,yi phyogs dang mthun pa'i chos,yi phyogs dang mthun pa'i chos,2379,2409,773801,773831
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,35.4,nas/ byang chub kyi phyogs dang mthun pa'i chos,"n par byang chub kyi phyogs dang 
[\[206a.6\]]mthun pa'i chos",2362,2409,809288,809349
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,35.0,byang chub kyi phyogs dang mthun pa'i chos,byang chub kyi phyogs dang mthun pa'i chos,2367,2409,124076,124118
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,35.0,byang chub kyi phyogs dang mthun pa'i chos,byang chub kyi phyogs dang mthun pa'i chos,2367,2409,116741,116783
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,27.199999999999996,ba'i rdzu 'phrul gyi rkang pa bzhi ni/ las kyi,"ba/_rdzu 
[\[216a.6\]]'phrul gyi rkang pa bzhi'i zhabs kyi",2463,2509,848288,848346
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,26.599999999999998,'das pa'i lam la/ phyi nang rten cing 'brel par 'byung ba'i la,'das par mdzad cing rten cing 'brel bar 'byung ba'i ya,6410,6472,143795,143849
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/004_'dul_ba_nga.txt,25.6,lam/ chos thams cad rten cing 'brel bar 'byung ba l,"la 
[\[242a\]]
[\[242a.1\]]mkhas par byas/_rten cing 'brel bar 'byung ba l",1542,1593,950404,950478
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/005_'dul_ba_ca.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,686942,686982
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/007_'dul_ba_ja.txt,26.2,rten cing 'brel par 'byung ba'i la,"rten cing 'brel par 'byung ba'i 
[\[115a.2\]]ya",6438,6472,442768,442815
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/007_'dul_ba_ja.txt,26.2,rten cing 'brel par 'byung ba'i la,rten cing 'brel par 'byung ba'i ya,6438,6472,244333,244367
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/007_'dul_ba_ja.txt,25.4,r ba'i dran pa nye bar gzhag pa bzhi,r bya'o/_/dran pa nye bar gzhag pa bzhi,5255,5291,215971,216010
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,29.2,ang rten cing 'brel par 'byung ba'i la,ang /_rten cing 'brel par 'byung ba'i ya,6434,6472,408609,408649
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,463738,463778
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,26.200000000000003,as/ byang chub kyi phyogs dang mthun pa'i chos,ar byang ba'i phyogs dang mthun pa'i chos,2363,2409,626080,626121
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,26.200000000000003,as/ byang chub kyi phyogs dang mthun pa'i chos,ar byang ba'i phyogs dang mthun pa'i chos,2363,2409,544394,544435
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,26.2,rten cing 'brel par 'byung ba'i la,rten cing 'brel par 'byung ba'i ya,6438,6472,416977,417011
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/008_'dul_ba_nya.txt,26.2,rten cing 'brel par 'byung ba'i la,rten cing 'brel par 'byung ba'i ya,6438,6472,415328,415362
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/009_'dul_ba_ta.txt,29.0,yi nang rten cing 'brel par 'byung ba'i lam,"yin pa dang /_
[\[74a\]]
[\[74a.1\]]rten cing 'brel par 'byung ba la m",6430,6473,276956,277026
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/009_'dul_ba_ta.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,267683,267723
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/009_'dul_ba_ta.txt,25.599999999999994,'phags pa'i lam yan lag brgyad ni/ rnam shes brgy,"'phags pa'i lam yan lag brgyad ston pa/_mthar 
[\[57b.7\]]gy",10180,10229,215182,215242
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/009_'dul_ba_ta.txt,25.4,r ba'i dran pa nye bar gzhag pa bzhi,r bya'o/_/dran pa nye bar gzhag pa bzhi,5255,5291,151493,151532
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/010_'dul_ba_tha.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,314225,314288
poc/rDo rje tshig rkang.txt,corpus/derge-kangyur/010_'dul_ba_tha.txt,28.4,ang rten cing 'brel par 'byung ba'i lam,ang /_rten cing 'brel par 'byung ba la m,6434,6473,725878,725918
