file_a,file_b,score,text_a,text_b,start_a,end_a,start_b,end_b
poc/rDo rje tshig rkang.txt,corpus/073_mdo_sde_ha.txt,49.2,nas/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,nas byang chub kyi phyogs dang 'thun pa'i chos sum cu rtsa bdun,2362,2426,56447,56510
poc/rDo rje tshig rkang.txt,corpus/044_dkon_brtsegs_cha.txt,48.0,byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,2367,2426,43355,43414
poc/rDo rje tshig rkang.txt,corpus/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,"ar byang chub kyi phyogs dang mthun 
[\[45a.7\]]pa'i chos sum bcu rtsa bdun",2363,2426,168989,169064
poc/rDo rje tshig rkang.txt,corpus/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,160998,161061
poc/rDo rje tshig rkang.txt,corpus/001_'dul_ba_ka.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,154007,154070
poc/rDo rje tshig rkang.txt,corpus/010_'dul_ba_tha.txt,47.400000000000006,as/ byang chub kyi phyogs dang mthun pa'i chos sum cu rtsa bdun,ar byang chub kyi phyogs dang mthun pa'i chos sum bcu rtsa bdun,2363,2426,314225,314288
poc/rDo rje tshig rkang.txt,corpus/028_nyi_khri_ga.txt,43.399999999999984,rten cing 'brel par 'byung ba/ gzhan dbang rten 'brel byang chub chen po'i lam/ chos thams cad rten cing 'brel bar 'byung ba,rten cing 'brel par 'byung ba zhi ba dang /_rten cing 'brel par 'byung ba rag las pa dang /_rten cing 'brel par 'byung ba,1467,1591,435270,435391
poc/rDo rje tshig rkang.txt,corpus/102_dri_med_'od_shrI.txt,40.400000000000006,a/ 'khor ba'i chos las 'das shing / mya ngan las 'das pa'i lam ch,a 'khor ba'i bag chags las 'das shing mya ngan las 'das pa'i bag ch,6128,6193,1670275,1670342
poc/rDo rje tshig rkang.txt,corpus/037_phal_chen_ga.txt,39.0,hen po'i lam/ chos thams cad rten cing 'brel bar 'byung ba,"he na/_'di ltar chos thams cad rten cing 
[\[175b.2\]]'brel bar 'byung ba",1533,1591,621248,621321
poc/rDo rje tshig rkang.txt,corpus/058_mdo_sde_pha.txt,37.599999999999994,abs nas/ byang chub kyi phyogs dang mthun pa'i chos,"a byas nas byang chub kyi phyogs dang 
[\[154b.7\]]'thun pa'i chos",2358,2409,596623,596689
poc/rDo rje tshig rkang.txt,corpus/059_mdo_sde_ba.txt,37.39999999999995,a' rten cing 'brel par 'byung ba/ gzhan dbang rten 'brel byang chub chen po'i lam/ chos thams cad rten cing 'brel bar 'byung ba lo rgyus kyis tshad ma'o/ /kun gzhi rnam shes dag pa'i byang chub chen po/ /rten cing 'brel bar 'byung ba lng,"as rten cing 'brel par 'byung ba la mnyam par 'jug go/_/shes pa ji lta bu zhig 'jug ce na/_rten cing 'brel par 'byung ba dang skye ba med 
[\[192b.3\]]par mnyam pa ste/_stong pa nyid gang dang mnyam pa rten cing 'brel par 'byung ba yang",1464,1701,742120,742356
poc/rDo rje tshig rkang.txt,corpus/036_phal_chen_kha.txt,37.2,am/ chos thams cad rten cing 'brel bar 'byung ba l,as chos thams cad rten cing 'brel bar 'byung ba l,1543,1593,1301185,1301234
poc/rDo rje tshig rkang.txt,corpus/086_rgyud_'bum_tha.txt,36.80000000000001,las 'das pa'i lam la/ phyi nang rten cing 'brel par 'byung ba'i lam gyis,las 'das pa'i phyir dang /_rten cing 'brel par 'byung ba zab mo bsam gyis,6406,6478,703962,704035
poc/rDo rje tshig rkang.txt,corpus/050_mdo_sde_cha.txt,36.400000000000006,am/ chos thams cad rten cing 'brel bar 'byung ba lo,ar/_chos thams cad rten cing 'brel bar 'byung ba'o,1543,1594,1047794,1047844
poc/rDo rje tshig rkang.txt,corpus/036_phal_chen_kha.txt,36.2,am/ chos thams cad rten cing 'brel bar 'byung ba,a chos thams cad rten cing 'brel bar 'byung ba,1543,1591,1298640,1298686
poc/rDo rje tshig rkang.txt,corpus/034_shes_rab_sna_tshogs.txt,36.2,a' yum chen mo shes rab kyi pha rol tu phyin ma la,a/_yum chen mo shes rab kyi pha rol tu phyin ma la,4218,4268,570380,570430
poc/rDo rje tshig rkang.txt,corpus/036_phal_chen_kha.txt,36.2,chen po'i lam/ chos thams cad rten cing 'brel bar 'byung ba,chen po chos thams cad rten cing 'brel par 'byung ba,1532,1591,1308230,1308282
poc/rDo rje tshig rkang.txt,corpus/059_mdo_sde_ba.txt,36.2,nas/ byang chub kyi phyogs dang mthun pa'i chos,nas/_byang chub kyi phyogs dang 'thun pa'i chos,2362,2409,638678,638725
poc/rDo rje tshig rkang.txt,corpus/057_mdo_sde_pa.txt,36.0,chos thams cad rten cing 'brel bar 'byung ba,chos thams cad rten cing 'brel bar 'byung ba,1547,1591,1178253,1178297
poc/rDo rje tshig rkang.txt,corpus/043_dkon_brtsegs_ca.txt,36.0,chos thams cad rten cing 'brel bar 'byung ba,chos thams cad rten cing 'brel bar 'byung ba,1547,1591,1041210,1041254
poc/rDo rje tshig rkang.txt,corpus/004_'dul_ba_nga.txt,35.4,nas/ byang chub kyi phyogs dang mthun pa'i chos,"n par byang chub kyi phyogs dang 
[\[206a.6\]]mthun pa'i chos",2362,2409,809288,809349
