file_a,file_b,score,text_a,text_b,start_a,end_a,start_b,end_b,len_a,len_b
poc/D2672 copy.txt,corpus/D1.txt,45.49999999999999,gang rgyus byung de dag gi/ /rgyu dang de 'gag gang yin pa/ de bzhin gshegs pas bka' stsal te/ /de skad gsung,"g dag rgyu las byung ba dang //
de yi rgyu dang de 'gog gang yin pa'ang //
de bzhin gshegs pa nyid kyis bka' stsal te //
de skad gsung",19703,19812,117940,118074,109,134
poc/D2672 copy.txt,corpus/D1.txt,45.49999999999999,gang rgyus byung de dag gi/ /rgyu dang de 'gag gang yin pa/ de bzhin gshegs pas bka' stsal te/ /de skad gsung,"g dag rgyu las byung ba dang //
de yi rgyu dang de 'gog gang yin pa'ang //
de bzhin gshegs pa nyid kyis bka' stsal te //
de skad gsung",19703,19812,116062,116196,109,134
poc/D2672 copy.txt,corpus/D10.txt,56.5,a ni khong khro ba dang / nga rgyal dang / ma rig pa dang / lta ba dang / the tshom la,"ang /
khong khro ba dang /
nga rgyal dang /
ma rig pa dang /
lta ba dang /
the tsom la",38133,38219,2855889,2855975,86,86
poc/D2672 copy.txt,corpus/D10.txt,41.400000000000006,nas bzung nas nam byang chub kyi snying po la gnas kyi bar du/ sems can thams cad,"nas bzung ste /
byang chub kyi snying po la 'dug gi bar du sems can thams cad",129798,129879,2468017,2468094,81,77
poc/D2672 copy.txt,corpus/D10.txt,41.400000000000006,nas bzung nas nam byang chub kyi snying po la gnas kyi bar du/ sems can thams cad,"nas bzung ste /
byang chub kyi snying po la 'dug gi bar du sems can thams cad",129798,129879,2184831,2184908,81,77
poc/D2672 copy.txt,corpus/D10.txt,51.599999999999994,sems can thams cad dbugs dbyung ba dang / sems can thams cad yongs su mya ngan las 'da' ba dang / sems can thams cad,"sems can thams cad kyi skyabs bya ba dang /
sems can thams cad yongs su mi gtong ba dang /
sems can thams cad",129932,130048,1153399,1153508,116,109
poc/D2672 copy.txt,corpus/D10.txt,41.7,sems can thams cad yongs su mya ngan las 'da' ba dang / sems can,"sems can thams cad yongs su mya ngan las 'das kyang /
sems can",129974,130038,439945,440007,64,62
poc/D2672 copy.txt,corpus/D101.txt,48.0,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34317,34384,120041,120108,67,67
poc/D2672 copy.txt,corpus/D106.txt,45.9,'di ltar ma rig pa'i rkyen gyis 'du byed rnams zhes bya ba nas,"'di lta ste /
ma rig pa'i rkyen gyis 'du byed rnams zhes bya ba nas",45853,45915,46651,46718,62,67
poc/D2672 copy.txt,corpus/D106.txt,45.0,kun brtags pa dang / gzhan gyi dbang dang / yongs su grub pa,"kun brtags pa dang /
gzhan gyi dbang dang /
yongs su grub pa",80803,80863,165227,165287,60,60
poc/D2672 copy.txt,corpus/D106.txt,41.699999999999996,nyan thos dang / /rang byang chub dang / byang chub sems dpa' rnams kyi,nyan thos dang rang sangs rgyas dang byang chub sems dpa' rnams kyi,111789,111860,66092,66159,71,67
poc/D2672 copy.txt,corpus/D107.txt,41.699999999999996,nyan thos dang / /rang byang chub dang / byang chub sems dpa' rnams kyi,"nyan thos dang /
rang sangs rgyas dang /
byang chub sems dpa' rnams kyi",111789,111860,330558,330629,71,71
poc/D2672 copy.txt,corpus/D107.txt,42.5,ni sangs rgyas dang byang chub sems dpa' rnams kyi spyan,"ni sangs rgyas dang /
byang chub sems dpa' rnams kyi snan",138151,138207,245143,245200,56,57
poc/D2672 copy.txt,corpus/D107.txt,42.0,ni sangs rgyas dang byang chub sems dpa' rnams kyis,"ni sangs rgyas dang /
byang chub sems dpa' rnams kyi s",141848,141899,245143,245197,51,54
poc/D2672 copy.txt,corpus/D108.txt,48.0,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34317,34384,58582,58649,67,67
poc/D2672 copy.txt,corpus/D108.txt,40.5,sangs rgyas dang byang chub sems dpa' rnams kyi spyan,sangs rgyas dang byang chub sems dpa' rnams kyi snan,138154,138207,215775,215827,53,52
poc/D2672 copy.txt,corpus/D108.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyis,sangs rgyas dang byang chub sems dpa' rnams kyi s,141851,141899,215775,215824,48,49
poc/D2672 copy.txt,corpus/D11.txt,41.400000000000006,nas bzung nas nam byang chub kyi snying po la gnas kyi bar du/ sems can thams cad,"nas bzung ste /
byang chub kyi snying po la 'dug gi bar du sems can thams cad",129798,129879,195533,195610,81,77
poc/D2672 copy.txt,corpus/D112.txt,44.6,a ba ni sangs rgyas la blta ba dang chos nyan pa dang / dge 'dun la,"a yang sangs rgyas la lta ba dang /
chos nyan pa dang /
dge 'dun la",8954,9021,39917,39984,67,67
poc/D2672 copy.txt,corpus/D112.txt,43.4,sangs rgyas la blta ba dang chos nyan pa dang / dge 'dun la,"sangs rgyas la lta ba dang /
chos nyan pa dang /
dge 'dun la",8962,9021,24149,24209,59,60
poc/D2672 copy.txt,corpus/D112.txt,49.2,a ba ni mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"a dang /
mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34309,34384,269062,269138,75,76
poc/D2672 copy.txt,corpus/D112.txt,49.1,a ni mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"a na mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34312,34384,265497,265569,72,72
poc/D2672 copy.txt,corpus/D112.txt,43.2,i bar du pha rol tu phyin pa drug bsags pa'i bsod nams kyi phung po,i bar du pha rol tu phyin pa drug la spyod pa'i bsod nams kyi phung po,59171,59238,627063,627133,67,70
poc/D2672 copy.txt,corpus/D113.txt,42.1,ba dang / sems can thams cad yongs su mya ngan las 'da' ba dang / se,"ba dang /
sems can thams cad yongs su mya ngan las bzla ba dang /
de",129964,130032,120624,120692,68,68
poc/D2672 copy.txt,corpus/D1160.txt,46.4,es bya ba ni ji tsam du sems kyi rgyud la 'dod chags la sogs pa'i nyon mongs pa,es bya ba ni rang gi sems kyi rgyud la 'dod chags la sogs pa'i nyon mongs pa,38401,38480,65477,65553,79,76
poc/D2672 copy.txt,corpus/D1160.txt,40.0,zhes bya ba ni las dang nyon mongs pas bskyed pa'i,zhes bya ba ni las dang nyon mongs pas bskyed pa'i,86625,86675,40404,40454,50,50
poc/D2672 copy.txt,corpus/D1180.txt,40.8,a ni sangs rgyas dang byang chub sems dpa' rnams kyi,a nyid sangs rgyas dang byang chub sems dpa' rnams kyi,138149,138201,241042,241096,52,54
poc/D2672 copy.txt,corpus/D1180.txt,40.8,a ni sangs rgyas dang byang chub sems dpa' rnams kyi,a nyid sangs rgyas dang byang chub sems dpa' rnams kyi,141846,141898,241042,241096,52,54
poc/D2672 copy.txt,corpus/D1182.txt,100.19999999999999,dngos po thams cad dang bral ba phung po dang khams dang skye mched dang / gzung ba dang 'dzin pa rnam par spangs pa/ /chos bdag med pa mnyam pa nyid kyis rang gi sems gzod ma nas ma skyes pa stong pa nyid kyi,"dngos po thams cad dang bral ba / /
phung po dang /
khams dang /
skye mched gzung ba dang /
'dzin pa rnam par spangs pa chos thams cad bdag med par mnyam pa /
rang gi sems tsam ma skyes shing stong pa nyid kyi",39768,39977,21282,21491,209,209
poc/D2672 copy.txt,corpus/D1182.txt,44.0,gs zhes bya ba ni 'dod chags dang zhe sdang dang gti mug,"gs zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug",151959,152015,105059,105119,56,60
